192.168.1.9 - - [10/Jul/2020:08:38:37 -0300] "GET /WebServlet/svProdutos?codigo=1 HTTP/1.1" 200 56889
192.168.1.9 - - [10/Jul/2020:08:38:37 -0300] "GET /WebServlet/svProdutos?codigo=4 HTTP/1.1" 200 56889
192.168.1.9 - - [10/Jul/2020:08:38:37 -0300] "GET /WebServlet/svEmpresa?cnpj=54.987.110/0001-18 HTTP/1.1" 200 15773
192.168.1.9 - - [10/Jul/2020:08:38:37 -0300] "GET /WebServlet/svEmpresa?cnpj=56.027.913/0001-56 HTTP/1.1" 200 15773
192.168.1.9 - - [10/Jul/2020:08:38:39 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 206
192.168.1.9 - - [10/Jul/2020:08:38:39 -0300] "POST /WebServlet/svProdutos HTTP/1.1" 200 -
192.168.1.9 - - [10/Jul/2020:08:38:39 -0300] "POST /WebServlet/svProdutos HTTP/1.1" 200 -
192.168.1.9 - - [10/Jul/2020:08:38:39 -0300] "GET /WebServlet/svEmpresa?cnpj=70.356.963/0001-08 HTTP/1.1" 200 15773
192.168.1.9 - - [10/Jul/2020:08:38:39 -0300] "GET /WebServlet/svEmpresa?cnpj=71.191.982/0001-94 HTTP/1.1" 200 15773
192.168.1.9 - - [10/Jul/2020:08:38:41 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 2
192.168.1.9 - - [10/Jul/2020:08:38:41 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 2
192.168.1.9 - - [10/Jul/2020:08:38:41 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 2
192.168.1.9 - - [10/Jul/2020:08:38:41 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 2
192.168.1.9 - - [10/Jul/2020:08:38:41 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 2
192.168.1.9 - - [10/Jul/2020:08:38:41 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 2
192.168.1.9 - - [10/Jul/2020:08:38:41 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 2
192.168.1.9 - - [10/Jul/2020:08:38:41 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 2
192.168.1.9 - - [10/Jul/2020:08:38:45 -0300] "POST /WebServlet/svMensagem HTTP/1.1" 200 16
192.168.1.9 - - [10/Jul/2020:08:38:45 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 16
192.168.1.9 - - [10/Jul/2020:08:38:45 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 177
192.168.1.9 - - [10/Jul/2020:08:38:45 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 69
192.168.1.9 - - [10/Jul/2020:08:38:45 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 100
