127.0.0.1 - - [08/Jul/2020:09:48:46 -0300] "GET / HTTP/1.1" 404 751
192.168.1.9 - - [08/Jul/2020:09:48:58 -0300] "GET /WebServlet/socket?user=undefined HTTP/1.1" 101 -
192.168.1.9 - - [08/Jul/2020:09:49:12 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 29
192.168.1.9 - - [08/Jul/2020:09:49:12 -0300] "POST /WebServlet/svMensagem HTTP/1.1" 200 16
192.168.1.9 - - [08/Jul/2020:09:49:12 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 15
192.168.1.9 - - [08/Jul/2020:09:49:12 -0300] "GET /WebServlet/socket?user=30.188.441/0001-20 HTTP/1.1" 101 -
192.168.1.9 - - [08/Jul/2020:09:49:12 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 857
192.168.1.9 - - [08/Jul/2020:09:49:12 -0300] "POST /WebServlet/svProdutos HTTP/1.1" 200 -
192.168.1.9 - - [08/Jul/2020:09:49:12 -0300] "POST /WebServlet/svProdutos HTTP/1.1" 200 -
192.168.1.9 - - [08/Jul/2020:09:49:12 -0300] "POST /WebServlet/svProdutos HTTP/1.1" 200 -
192.168.1.9 - - [08/Jul/2020:09:49:12 -0300] "POST /WebServlet/svProdutos HTTP/1.1" 200 -
192.168.1.9 - - [08/Jul/2020:09:49:13 -0300] "POST /WebServlet/svProdutos HTTP/1.1" 200 -
192.168.1.9 - - [08/Jul/2020:09:49:13 -0300] "GET /WebServlet/svEmpresa?cnpj=03.181.124/0001-09 HTTP/1.1" 200 15773
192.168.1.9 - - [08/Jul/2020:09:49:13 -0300] "GET /WebServlet/svEmpresa?cnpj=19.805.893/0001-70 HTTP/1.1" 200 15773
192.168.1.9 - - [08/Jul/2020:09:49:13 -0300] "GET /WebServlet/svEmpresa?cnpj=09.857.251/0001-61 HTTP/1.1" 200 15773
192.168.1.9 - - [08/Jul/2020:09:49:13 -0300] "GET /WebServlet/svEmpresa?cnpj=12.820.572/0001-04 HTTP/1.1" 200 15773
