127.0.0.1 - - [23/Jun/2020:08:51:28 -0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/Jun/2020:08:51:29 -0300] "GET /WebServlet/Servlet HTTP/1.1" 500 1226
0:0:0:0:0:0:0:1 - - [23/Jun/2020:08:51:29 -0300] "GET /favicon.ico HTTP/1.1" 404 762
192.168.1.11 - - [23/Jun/2020:08:51:34 -0300] "GET /WebServlet/socket?user=undefined HTTP/1.1" 101 -
192.168.1.11 - - [23/Jun/2020:08:51:40 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 29
192.168.1.11 - - [23/Jun/2020:08:51:40 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 16
192.168.1.11 - - [23/Jun/2020:08:51:40 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 16
192.168.1.11 - - [23/Jun/2020:08:51:40 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 767
192.168.1.11 - - [23/Jun/2020:08:51:40 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 2
192.168.1.11 - - [23/Jun/2020:08:51:40 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 2
192.168.1.11 - - [23/Jun/2020:08:51:40 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 2
192.168.1.11 - - [23/Jun/2020:08:51:40 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 2
192.168.1.11 - - [23/Jun/2020:08:51:40 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 2
192.168.1.11 - - [23/Jun/2020:08:51:40 -0300] "GET /WebServlet/socket?user=30.188.441/0001-20 HTTP/1.1" 101 -
192.168.1.11 - - [23/Jun/2020:08:51:40 -0300] "GET /WebServlet/Servlet?acao=1&cnpj=07.395.770/0001-20 HTTP/1.1" 200 -
192.168.1.11 - - [23/Jun/2020:08:51:41 -0300] "GET /WebServlet/Servlet?acao=1&cnpj=09.857.251/0001-61 HTTP/1.1" 200 15773
192.168.1.11 - - [23/Jun/2020:08:51:41 -0300] "GET /WebServlet/Servlet?acao=1&cnpj=03.181.124/0001-09 HTTP/1.1" 200 15773
192.168.1.11 - - [23/Jun/2020:08:51:41 -0300] "GET /WebServlet/Servlet?acao=1&cnpj=11.111.111/1111-11 HTTP/1.1" 200 53733
192.168.1.11 - - [23/Jun/2020:08:51:41 -0300] "GET /WebServlet/Servlet?acao=1&cnpj=12.820.572/0001-04 HTTP/1.1" 200 15773
192.168.1.11 - - [23/Jun/2020:08:51:42 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 810
192.168.1.11 - - [23/Jun/2020:08:51:45 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 16
192.168.1.11 - - [23/Jun/2020:08:51:45 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 16
192.168.1.11 - - [23/Jun/2020:08:51:45 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 198
192.168.1.11 - - [23/Jun/2020:08:51:47 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 16
192.168.1.11 - - [23/Jun/2020:08:51:47 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 16
192.168.1.11 - - [23/Jun/2020:08:51:47 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 198
192.168.1.11 - - [23/Jun/2020:08:53:32 -0300] "GET /WebServlet/socket?user=30.188.441/0001-20 HTTP/1.1" 101 -
192.168.1.11 - - [23/Jun/2020:08:53:33 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 16
192.168.1.11 - - [23/Jun/2020:08:53:33 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 16
192.168.1.11 - - [23/Jun/2020:08:53:33 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 767
192.168.1.11 - - [23/Jun/2020:08:53:33 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 2
192.168.1.11 - - [23/Jun/2020:08:53:33 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 2
192.168.1.11 - - [23/Jun/2020:08:53:33 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 2
192.168.1.11 - - [23/Jun/2020:08:53:33 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 2
192.168.1.11 - - [23/Jun/2020:08:53:33 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 2
192.168.1.11 - - [23/Jun/2020:08:53:33 -0300] "GET /WebServlet/Servlet?acao=1&cnpj=07.395.770/0001-20 HTTP/1.1" 200 15773
192.168.1.11 - - [23/Jun/2020:08:53:33 -0300] "GET /WebServlet/socket?user=30.188.441/0001-20 HTTP/1.1" 101 -
192.168.1.11 - - [23/Jun/2020:08:53:33 -0300] "GET /WebServlet/Servlet?acao=1&cnpj=11.111.111/1111-11 HTTP/1.1" 200 53733
192.168.1.11 - - [23/Jun/2020:08:53:33 -0300] "GET /WebServlet/Servlet?acao=1&cnpj=03.181.124/0001-09 HTTP/1.1" 200 15773
