192.168.1.6 - - [18/Jun/2020:08:49:22 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:08:49:55 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:08:49:55 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 196
192.168.1.6 - - [18/Jun/2020:08:49:55 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:08:51:16 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:08:51:16 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 196
192.168.1.6 - - [18/Jun/2020:08:51:16 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:08:52:17 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:08:52:17 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 196
192.168.1.6 - - [18/Jun/2020:08:52:17 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:08:52:19 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:08:52:19 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 196
192.168.1.6 - - [18/Jun/2020:08:52:19 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:08:52:55 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:08:52:55 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 196
192.168.1.6 - - [18/Jun/2020:08:52:55 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:08:53:45 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:08:53:45 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 196
192.168.1.6 - - [18/Jun/2020:08:53:45 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:08:53:52 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:08:53:52 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 196
192.168.1.6 - - [18/Jun/2020:08:53:52 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:08:54:22 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:08:54:22 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 196
192.168.1.6 - - [18/Jun/2020:08:54:22 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:08:54:31 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:08:54:31 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 196
192.168.1.6 - - [18/Jun/2020:08:54:31 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:08:54:43 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:08:54:43 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 196
192.168.1.6 - - [18/Jun/2020:08:54:43 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:08:56:42 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:08:56:42 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 196
192.168.1.6 - - [18/Jun/2020:08:56:42 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:08:57:47 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:08:57:47 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 196
192.168.1.6 - - [18/Jun/2020:08:57:47 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:08:58:30 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:08:58:30 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 196
192.168.1.6 - - [18/Jun/2020:08:58:30 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:08:58:33 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 2
192.168.1.6 - - [18/Jun/2020:08:58:35 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:08:58:35 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 196
192.168.1.6 - - [18/Jun/2020:08:58:35 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:08:59:21 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:08:59:21 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 196
192.168.1.6 - - [18/Jun/2020:08:59:21 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:00:24 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:00:24 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 196
192.168.1.6 - - [18/Jun/2020:09:00:24 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:00:28 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:00:28 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 196
192.168.1.6 - - [18/Jun/2020:09:00:28 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:00:28 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
192.168.1.6 - - [18/Jun/2020:09:00:28 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 196
192.168.1.6 - - [18/Jun/2020:09:00:28 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 181
