0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:41:23 -0300] "POST /eRelation/servlet HTTP/1.1" 200 857
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:41:23 -0300] "POST /eRelation/servlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:41:23 -0300] "POST /eRelation/servlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:41:23 -0300] "POST /eRelation/servlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:41:23 -0300] "POST /eRelation/servlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:41:23 -0300] "POST /eRelation/servlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:41:26 -0300] "POST /eRelation/servlet HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:41:26 -0300] "POST /eRelation/servlet HTTP/1.1" 200 113
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:41:26 -0300] "POST /eRelation/servlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:41:26 -0300] "POST /eRelation/servlet HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:41:26 -0300] "POST /eRelation/servlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:41:26 -0300] "POST /eRelation/servlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:41:27 -0300] "POST /eRelation/servlet HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:41:27 -0300] "POST /eRelation/servlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:41:27 -0300] "POST /eRelation/servlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:41:28 -0300] "POST /eRelation/servlet HTTP/1.1" 200 2
