127.0.0.1 - - [06/Jul/2020:19:17:35 -0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [06/Jul/2020:19:17:36 -0300] "GET /eRelation/login.jsp HTTP/1.1" 200 3296
0:0:0:0:0:0:0:1 - - [06/Jul/2020:19:17:36 -0300] "GET /eRelation/js/jquery.js HTTP/1.1" 200 282113
0:0:0:0:0:0:0:1 - - [06/Jul/2020:19:17:36 -0300] "GET /eRelation/css/bootstrap.min.css HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [06/Jul/2020:19:17:36 -0300] "GET /eRelation/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [06/Jul/2020:19:17:36 -0300] "GET /eRelation/css/style.css HTTP/1.1" 200 35124
0:0:0:0:0:0:0:1 - - [06/Jul/2020:19:17:36 -0300] "GET /eRelation/js/script.js HTTP/1.1" 200 6095
0:0:0:0:0:0:0:1 - - [06/Jul/2020:19:17:36 -0300] "GET /eRelation/js/jquery.mask.min.js HTTP/1.1" 200 8327
0:0:0:0:0:0:0:1 - - [06/Jul/2020:19:17:36 -0300] "GET /eRelation/js/jquery.validate.min.js HTTP/1.1" 200 23070
0:0:0:0:0:0:0:1 - - [06/Jul/2020:19:17:36 -0300] "GET /eRelation/js/jquery.validation.pt-br.js HTTP/1.1" 200 1416
0:0:0:0:0:0:0:1 - - [06/Jul/2020:19:17:36 -0300] "GET /eRelation/js/script_forms.js HTTP/1.1" 200 2187
0:0:0:0:0:0:0:1 - - [06/Jul/2020:19:17:36 -0300] "GET /eRelation/icons/logo.png HTTP/1.1" 200 10462
0:0:0:0:0:0:0:1 - - [06/Jul/2020:19:17:37 -0300] "GET /eRelation/img/login.png HTTP/1.1" 200 50694
0:0:0:0:0:0:0:1 - - [06/Jul/2020:19:17:37 -0300] "POST /eRelation/servlet HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [06/Jul/2020:19:17:37 -0300] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [06/Jul/2020:19:20:21 -0300] "POST /eRelation/servlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jul/2020:19:20:21 -0300] "GET /eRelation/home.jsp?e=120 HTTP/1.1" 200 3386
0:0:0:0:0:0:0:1 - - [06/Jul/2020:19:20:21 -0300] "GET /eRelation/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2020:19:20:21 -0300] "GET /eRelation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2020:19:20:21 -0300] "GET /eRelation/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2020:19:20:21 -0300] "GET /eRelation/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2020:19:20:21 -0300] "GET /eRelation/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2020:19:20:21 -0300] "GET /eRelation/js/script_home.js HTTP/1.1" 200 6277
0:0:0:0:0:0:0:1 - - [06/Jul/2020:19:20:21 -0300] "GET /eRelation/icons/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2020:19:20:21 -0300] "POST /eRelation/servlet HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [06/Jul/2020:19:20:21 -0300] "POST /eRelation/servlet HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [06/Jul/2020:19:20:21 -0300] "POST /eRelation/servlet HTTP/1.1" 200 857
0:0:0:0:0:0:0:1 - - [06/Jul/2020:19:20:21 -0300] "POST /eRelation/servlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [06/Jul/2020:19:20:21 -0300] "POST /eRelation/servlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [06/Jul/2020:19:20:21 -0300] "POST /eRelation/servlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [06/Jul/2020:19:20:22 -0300] "POST /eRelation/servlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [06/Jul/2020:19:20:22 -0300] "POST /eRelation/servlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [06/Jul/2020:19:20:28 -0300] "GET /eRelation/caixaentrada.jsp HTTP/1.1" 500 2655
0:0:0:0:0:0:0:1 - - [06/Jul/2020:19:20:31 -0300] "POST /eRelation/servlet HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [06/Jul/2020:19:20:41 -0300] "POST /eRelation/servlet HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [06/Jul/2020:19:20:45 -0300] "POST /eRelation/servlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jul/2020:19:20:45 -0300] "GET /eRelation/home.jsp?e=120 HTTP/1.1" 200 3386
0:0:0:0:0:0:0:1 - - [06/Jul/2020:19:20:45 -0300] "GET /eRelation/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2020:19:20:45 -0300] "POST /eRelation/servlet HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [06/Jul/2020:19:20:45 -0300] "POST /eRelation/servlet HTTP/1.1" 200 60
